success,trial_type,trial_index,time_elapsed,internal_node_id,line_1,line_2,line_3,rt,phase,lag,key,start_reward,decay,n_travel_steps,press_success_prob_travel,press_success_prob_harvest,reward_noise,start_reward_noise,time_min,travel_key,harvest_key,person_pos,tree_pos,reward_obs,reward_true,exit,fail
TRUE,travel,2,10076,0.0-2.0,,,,,Harvest,174.9999998,74,100,0.98,12,0.7,0.7,2.5,4,2,f,j,13,15,93.61618399,95.89978199,0,
TRUE,travel,2,10252,0.0-2.0,,,,,Harvest,175.2549997,74,100,0.98,12,0.7,0.7,2.5,4,2,f,j,13,15,95.01495077,93.98178635,0,
FALSE,travel,2,10459,0.0-2.0,,,,,Harvest,207.4449994,74,100,0.98,12,0.7,0.7,2.5,4,2,f,j,13,15,null,92.10215062,0,
FALSE,travel,2,10667,0.0-2.0,,,,,Harvest,207.525,74,100,0.98,12,0.7,0.7,2.5,4,2,f,j,13,15,null,92.10215062,0,
TRUE,travel,2,10860,0.0-2.0,,,,,Harvest,191.6000005,74,100,0.98,12,0.7,0.7,2.5,4,2,f,j,13,15,91.01886767,92.10215062,0,
TRUE,travel,2,11036,0.0-2.0,,,,,Harvest,174.9949995,74,100,0.98,12,0.7,0.7,2.5,4,2,f,j,13,15,89.37651817,90.26010761,0,
FALSE,travel,2,11227,0.0-2.0,,,,,Harvest,190.9849998,74,100,0.98,12,0.7,0.7,2.5,4,2,f,j,13,15,null,88.45490546,0,
TRUE,travel,2,11420,0.0-2.0,,,,,Harvest,191.4399993,74,100,0.98,12,0.7,0.7,2.5,4,2,f,j,13,15,84.75190657,88.45490546,0,
FALSE,travel,2,11595,0.0-2.0,,,,,Harvest,175.0949994,74,100,0.98,12,0.7,0.7,2.5,4,2,f,j,13,15,null,86.68580735,0,
TRUE,travel,2,11788,0.0-2.0,,,,,Harvest,191.6399999,74,100,0.98,12,0.7,0.7,2.5,4,2,f,j,13,15,84.02520999,86.68580735,0,
TRUE,travel,2,11980,0.0-2.0,,,,,Harvest,191.2199995,74,100,0.98,12,0.7,0.7,2.5,4,2,f,j,13,15,83.85643213,84.9520912,0,
TRUE,travel,2,12172,0.0-2.0,,,,,Harvest,191.0699997,74,100,0.98,12,0.7,0.7,2.5,4,2,f,j,13,15,85.0917378,83.25304938,0,
TRUE,travel,2,12348,0.0-2.0,,,,,Harvest,175.1650004,74,100,0.98,12,0.7,0.7,2.5,4,2,f,j,13,15,82.2434958,81.58798839,0,
TRUE,travel,2,12524,0.0-2.0,,,,,Harvest,175.3899995,74,100,0.98,12,0.7,0.7,2.5,4,2,f,j,13,15,82.66645491,79.95622862,0,
TRUE,travel,2,12732,0.0-2.0,,,,,Harvest,207.44,74,100,0.98,12,0.7,0.7,2.5,4,2,f,j,13,15,78.94336643,78.35710405,0,
TRUE,travel,2,12924,0.0-2.0,,,,,Harvest,191.0099993,74,100,0.98,12,0.7,0.7,2.5,4,2,f,j,13,15,76.54385002,76.78996197,0,
TRUE,travel,2,13132,0.0-2.0,,,,,Harvest,207.32,74,100,0.98,12,0.7,0.7,2.5,4,2,f,j,13,15,74.324694,75.25416273,0,
TRUE,travel,2,13340,0.0-2.0,,,,,Harvest,207.1800008,74,100,0.98,12,0.7,0.7,2.5,4,2,f,j,13,15,74.70784126,73.74907948,0,
FALSE,travel,2,13564,0.0-2.0,,,,,Harvest,223.4799992,74,100,0.98,12,0.7,0.7,2.5,4,2,f,j,13,15,null,72.27409789,0,
FALSE,travel,2,13819,0.0-2.0,,,,,Harvest,254.9600005,74,100,0.98,12,0.7,0.7,2.5,4,2,f,j,13,15,null,72.27409789,0,
FALSE,travel,2,14027,0.0-2.0,,,,,Harvest,207.7400004,74,100,0.98,12,0.7,0.7,2.5,4,2,f,j,13,15,null,72.27409789,0,
TRUE,travel,2,14204,0.0-2.0,,,,,Harvest,175.6450003,74,100,0.98,12,0.7,0.7,2.5,4,2,f,j,13,15,70.64905954,72.27409789,0,
TRUE,travel,2,14380,0.0-2.0,,,,,Harvest,175.2300002,74,100,0.98,12,0.7,0.7,2.5,4,2,f,j,13,15,68.95949804,70.82861593,0,
FALSE,travel,2,14571,0.0-2.0,,,,,Harvest,191.2850002,74,100,0.98,12,0.7,0.7,2.5,4,2,f,j,13,15,null,69.41204361,0,
TRUE,travel,2,14764,0.0-2.0,,,,,Harvest,191.8049995,74,100,0.98,12,0.7,0.7,2.5,4,2,f,j,13,15,72.1238552,69.41204361,0,
FALSE,travel,2,14971,0.0-2.0,,,,,Harvest,207.3249994,74,100,0.98,12,0.7,0.7,2.5,4,2,f,j,13,15,null,68.02380274,0,
TRUE,travel,2,15180,0.0-2.0,,,,,Harvest,207.68,74,100,0.98,12,0.7,0.7,2.5,4,2,f,j,13,15,69.19207259,68.02380274,0,
FALSE,travel,2,15371,0.0-2.0,,,,,Harvest,191.2700003,74,100,0.98,12,0.7,0.7,2.5,4,2,f,j,13,15,null,66.66332668,0,
TRUE,travel,2,15563,0.0-2.0,,,,,Harvest,191.6749999,74,100,0.98,12,0.7,0.7,2.5,4,2,f,j,13,15,67.23020369,66.66332668,0,
TRUE,travel,2,15756,0.0-2.0,,,,,Harvest,191.385,74,100,0.98,12,0.7,0.7,2.5,4,2,f,j,13,15,60.45397776,65.33006015,0,
FALSE,travel,2,15931,0.0-2.0,,,,,Harvest,175.4450006,74,100,0.98,12,0.7,0.7,2.5,4,2,f,j,13,15,null,64.02345895,0,
,travel,2,16076,0.0-2.0,,,,,Harvest,143.6949996,70,100,0.98,12,0.7,0.7,2.5,4,2,f,j,14,27,null,,1,null
FALSE,travel,2,16283,0.0-2.0,,,,,TRAVEL,206.8999996,70,100,0.98,12,0.7,0.7,2.5,4,2,f,j,14,27,,,,
FALSE,travel,2,16459,0.0-2.0,,,,,TRAVEL,175.7500004,70,100,0.98,12,0.7,0.7,2.5,4,2,f,j,14,27,,,,
